Shirt Color Name,PMS Color Code
Aqua,7459C
Army,418CP
Ash,428CP
Asphalt,BLACK 7 U
Autumn,Not Available
Baby Blue,2205UP
Berry,233CP
Black,Black C
Brown,440CP
Burnt Orange,159C
Canvas Red,201C
Cardinal,194C
Charity Pink,212CP
Coral,2024U
Dark Grey,432 CP
Dark Olive,Not Available
Deep Teal,3025CP
Evergreen,343C
Forest,5535 C
Gold,137C
Kelly,341C
Leaf,2263CP
Light Blue,5435C
Lilac,Not Available
Maize Yellow,7548CP
Maroon,7643C
Mauve,7524 U
Military Green,2410 UP
Mint,344C
Mustard,Not Available
Natural,7500CP
Navy,533C
Ocean Blue,7458UP
Olive,5747CP
Orange,1645C
Oxblood Black,7449 CP
Pink,706C
Poppy,2347C
Red,200C
Rust,2350 U
Silver,420C
Soft Cream,468CP
Soft Pink,7604UP
Steel Blue,5415CP
Storm,424 CP
Sunset,2024 CP
Tan,2324 CP
Teal,3262C
Team Purple,2695C
True Royal,7684CP
Turquoise,638C
Vintage Black,419 C
Vintage White,Not Available
White,White C
Yellow,100CP
